,Gene,P18103_1002,P18103_1048,P18103_1054,P18103_1012,P18103_1061,P18103_1072,P18103_1071,P18103_1055,P18103_1035,P18103_1021,P18103_1036,P18103_1022,P18103_1010,P18103_1016,P18103_1031,P18103_1030,P18103_1046,P18103_1037,P18103_1047,P18103_1058,P18103_1062,P18103_1070,P18103_1023,P18103_1039,P18103_1066,P18103_1019,P18103_1018,P18103_1027,P18103_1050,P18103_1034,P18103_1045,P18103_1029,P18103_1033,P18103_1060,P18103_1063,P18103_1032,P18103_1043,P18103_1007,P18103_1064,P18103_1067,P18103_1069,P18103_1068,P18103_1053,P18103_1028,P18103_1014,P18103_1009,P18103_1001,P18103_1056,P18103_1011,P18103_1024,P18103_1003,P18103_1026,P18103_1049,P18103_1065,P18103_1006,P18103_1051,P18103_1005,P18103_1038,P18103_1025,P18103_1040,P18103_1044,P18103_1013,P18103_1041,P18103_1017,P18103_1052,P18103_1004,P18103_1020,P18103_1015,P18103_1057,P18103_1042,P18103_1059,P18103_1008
0,PBANKA_031180,50,4,0,0,0,1220,10,16,0,0,4,203,51,0,3,18,0,34,0,8,0,23,20,2,4,0,10,16,8,0,8,17,0,8,2,0,6,0,2,8,243,43,0,17,9,128,96,208,75,2,0,59,2,5,0,4,25,0,8,8,14,0,150,34,2,32,2,19,12,20,2,0
1,PBANKA_031580,133,24,200,559,46,1215,427,502,20,62,12,328,248,24,34,387,4,142,12,290,12,353,20,343,5,52,153,581,14,18,274,392,16,25,24,116,300,610,52,188,349,523,12,253,299,825,226,531,340,191,79,383,20,18,402,18,397,28,403,311,264,557,476,165,32,518,40,100,329,368,10,334
2,PBANKA_091600,446,2008,910,1160,2433,959,2,1420,2507,2397,3055,1632,373,2891,3519,1079,4061,3905,3667,692,1386,779,2703,1376,2591,2658,2345,1425,1255,2146,449,1211,3757,2452,1182,3250,617,290,1594,554,463,854,4409,870,743,1196,2855,1339,1230,922,1545,918,1631,3453,242,2405,263,4304,973,762,719,1102,1231,2527,1959,1050,2188,480,943,1095,3963,1662
3,PBANKA_052230,484,840,827,1023,1202,983,1610,1286,846,922,1041,492,481,710,536,1162,520,1137,1102,1437,1040,710,897,1177,921,1512,977,919,817,1193,833,1078,1077,916,1107,1043,846,928,2078,970,914,1206,844,1090,916,851,1361,1318,1630,1007,1369,801,1006,835,408,1370,512,886,843,608,1259,989,1205,1184,432,918,832,601,707,825,518,1471
4,PBANKA_071490,21,0,0,28,4,1356,0,10,0,6,0,104,34,0,4,10,2,26,0,6,1,11,40,0,0,6,40,9,0,2,4,0,2,0,0,2,13,202,20,2,2,2,2,2,6,95,70,2,34,0,65,8,0,2,6,2,154,0,13,5,4,29,6,81,0,128,0,0,12,12,2,1
5,PBANKA_080690,6,18,230,171,2,1361,129,182,8,34,12,90,13,6,4,134,2,38,8,165,17,160,31,301,2,35,8,143,14,14,76,171,6,6,10,22,161,65,52,193,159,144,9,110,161,196,191,264,533,181,78,204,22,6,2,11,50,0,96,90,101,205,209,36,1,0,35,77,133,250,6,0
6,PBANKA_093080,48,0,52,83,12,1126,80,74,0,4,2,101,37,16,2,62,0,20,0,82,0,44,0,65,2,12,22,62,0,0,47,81,0,2,4,8,70,8,4,54,32,53,6,65,63,65,50,78,63,61,0,14,2,0,0,1,67,0,50,31,80,60,63,28,6,124,2,63,23,42,0,0
7,PBANKA_101810,71,121,609,668,207,1094,79,727,108,52,28,994,149,147,218,557,317,399,159,455,48,496,626,711,895,114,235,462,106,77,369,801,98,129,126,125,467,87,29,775,716,515,722,479,436,871,544,952,770,410,156,528,61,189,2,43,79,1213,437,347,464,607,737,127,163,61,123,240,420,499,433,1367
8,PBANKA_111060,6,0,12,49,8,1207,103,87,2,0,4,78,20,0,4,40,2,40,0,16,2,40,14,12,0,0,35,39,2,0,28,25,4,6,6,17,40,88,2,12,13,84,2,16,60,240,34,38,57,12,0,28,0,4,0,4,22,0,35,46,18,68,38,22,0,46,4,22,38,34,0,0
9,PBANKA_112810,26,6,52,60,4,1206,143,20,6,30,3,154,32,18,4,52,0,27,0,59,0,34,0,58,0,8,39,39,10,2,37,39,4,10,13,6,57,124,15,48,64,23,0,67,33,203,87,80,46,40,40,32,0,8,2,4,116,8,54,13,95,71,59,23,15,36,8,32,19,45,2,0
10,PBANKA_093290,1059,4931,2629,2444,7461,1244,1408,2846,4380,4592,5686,7198,736,4920,4772,2924,6049,8762,6998,3006,6020,2340,5118,3285,7383,5658,4751,2409,4492,5203,2127,3005,5649,6937,5234,5478,2303,2743,9863,3221,2176,2643,7332,2317,2719,2695,5432,2896,2175,2468,3793,1731,5525,9232,1137,6389,901,7170,1898,1367,2963,2537,2605,4577,3686,3302,4063,1371,2119,2544,8410,5061
11,PBANKA_135260,1173,6940,2378,2664,11039,1272,2644,2502,5063,4600,5726,8936,609,7633,8256,2603,11162,14612,11019,2856,6984,1738,8514,3053,12210,7021,5929,1846,4739,6248,1788,2481,8029,10722,5723,8572,2093,2207,8540,2544,1559,1961,12556,2129,2014,3537,6547,2433,1590,2104,3459,1530,6429,15583,1145,6033,854,12924,1457,1138,2641,2261,2077,5641,6634,3319,4219,1087,1679,2022,16006,4642
12,PBANKA_143440,229,561,653,795,957,1278,201,574,833,906,841,789,227,751,706,1206,570,761,891,1176,1101,556,693,851,759,1090,781,526,879,878,759,937,754,688,1193,889,830,576,1665,875,472,536,794,870,902,1180,1246,532,545,680,1050,387,889,756,778,1009,336,1060,556,320,1192,780,507,1165,354,784,741,486,528,539,703,877
13,PBANKA_140410,0,4,16,72,0,1177,5,22,0,2,2,76,8,0,0,40,4,0,0,52,0,24,0,38,2,6,0,84,2,0,26,39,0,6,0,0,54,51,10,16,41,16,2,76,35,203,73,40,144,27,18,86,4,0,0,12,15,2,22,15,62,48,54,20,4,57,4,34,26,47,2,0
14,PBANKA_131720,0,0,0,0,2,1272,1,0,0,0,0,85,0,0,4,0,0,14,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0
15,PBANKA_143630,226,1366,1026,1470,1848,1387,732,1288,1173,1176,1336,968,274,1281,1109,1089,1302,1073,1981,1071,1661,1214,834,1343,1223,1855,1379,1164,1146,1715,834,946,1783,1742,1238,1634,724,886,1516,1331,1090,1304,1382,890,946,1181,1780,1634,920,889,1153,765,1717,972,975,1233,514,1424,875,588,1026,883,1039,1391,523,1196,948,489,1146,1234,1741,1239
16,PBANKA_135960,176,168,869,1389,258,1449,1,929,272,163,212,399,229,276,118,977,69,193,211,1195,222,873,224,1174,131,414,332,929,338,244,743,728,221,143,355,262,627,620,417,899,942,874,142,848,836,804,641,1346,1154,837,526,785,201,72,412,269,346,144,489,398,1169,619,1217,473,103,550,299,385,832,975,74,859
